delhi_solarpv,delhi_onshorewind,maharashtra_solarpv,maharashtra_onshorewind,rajasthan_solarpv,rajasthan_onshorewind
0,0.026,0,0.195,0,0.732
0,0.04,0,0.068,0,0.734
0,0.045,0,0.025,0,0.745
0,0.04,0,0.021,0,0.753
0,0.035,0,0.032,0,0.742
0,0.115,0,0.256,0,0.247
0,0.131,0.006,0.256,0,0.129
0.093,0.138,0.278,0.148,0.05,0.055
0.303,0.06,0.514,0.063,0.255,0.039
0.486,0.008,0.663,0.337,0.42,0.028
0.589,0.009,0.75,0.384,0.59,0.003
0.509,0.045,0.788,0.359,0.733,0.002
0.42,0.049,0.783,0.314,0.742,0.007
0.304,0.05,0.731,0.256,0.692,0.012
0.21,0.046,0.623,0.207,0.569,0.011
0.101,0.062,0.462,0.19,0.398,0.013
0.022,0.097,0.228,0.206,0.165,0.023
0,0.118,0.004,0.26,0.003,0.036
0,0.128,0,0.289,0,0.046
0,0.139,0,0.306,0,0.042
0,0.125,0,0.312,0,0.018
0,0.105,0,0.272,0,0.002
0,0.097,0,0.201,0,0
0,0.076,0,0.187,0,0
0,0.054,0,0.263,0,0.008
0,0.056,0,0.405,0,0.038
0,0.057,0,0.498,0,0.058
0,0.051,0,0.498,0,0.059
0,0.045,0,0.467,0,0.069
0,0.026,0,0.424,0,0.074
0,0.011,0.005,0.349,0,0.072
0.083,0.013,0.264,0.153,0.042,0.08
0.285,0.015,0.498,0.028,0.244,0.08
0.471,0.009,0.647,0.196,0.46,0.033
0.583,0.009,0.734,0.175,0.603,0.064
0.561,0.009,0.768,0.183,0.709,0.068
0.544,0.007,0.765,0.241,0.718,0.036
0.467,0.003,0.714,0.308,0.671,0.03
0.29,0.001,0.613,0.335,0.523,0.046
0.139,0.001,0.452,0.315,0.343,0.073
0.023,0.001,0.221,0.272,0.125,0.172
0,0.006,0.004,0.252,0.002,0.354
0,0.029,0,0.199,0,0.431
0,0.085,0,0.14,0,0.452
0,0.174,0,0.095,0,0.426
0,0.267,0,0.07,0,0.38
0,0.323,0,0.064,0,0.373
0,0.324,0,0.075,0,0.384
0,0.312,0,0.102,0,0.379
0,0.289,0,0.127,0,0.373
0,0.267,0,0.144,0,0.421
0,0.269,0,0.173,0,0.502
0,0.295,0,0.189,0,0.555
0,0.338,0,0.174,0,0.566
0,0.39,0.005,0.142,0,0.525
0.102,0.416,0.257,0.057,0.045,0.484
0.323,0.198,0.496,0.005,0.256,0.284
0.517,0.066,0.649,0.038,0.472,0.074
0.627,0.174,0.739,0.023,0.611,0.022
0.585,0.335,0.77,0.049,0.696,0.008
0.56,0.371,0.765,0.078,0.707,0.001
0.491,0.388,0.714,0.097,0.664,0
0.376,0.384,0.599,0.102,0.567,0.002
0.195,0.356,0.435,0.102,0.398,0.006
0.037,0.405,0.201,0.124,0.167,0.02
0,0.484,0.003,0.183,0.003,0.066
0,0.537,0,0.207,0,0.121
0,0.598,0,0.204,0,0.158
0,0.668,0,0.192,0,0.21
0,0.718,0,0.194,0,0.29
0,0.694,0,0.206,0,0.344
0,0.648,0,0.218,0,0.369
0,0.599,0,0.227,0,0.391
0,0.5,0,0.232,0,0.416
0,0.491,0,0.221,0,0.405
0,0.531,0,0.22,0,0.375
0,0.559,0,0.223,0,0.378
0,0.579,0,0.208,0,0.405
0,0.582,0.005,0.18,0,0.405
0.103,0.439,0.25,0.086,0.044,0.399
0.169,0.118,0.489,0.032,0.262,0.261
0.194,0.026,0.641,0.279,0.468,0.097
0.278,0.015,0.73,0.233,0.542,0.037
0.27,0.043,0.762,0.159,0.515,0.016
0.238,0.026,0.756,0.127,0.451,0.017
0.181,0.006,0.702,0.114,0.299,0.025
0.11,0.002,0.596,0.111,0.192,0.026
0.05,0.004,0.431,0.114,0.277,0.022
0.008,0.006,0.197,0.139,0.157,0.02
0,0.006,0.003,0.21,0.003,0.008
0,0.005,0,0.268,0,0.003
0,0.008,0,0.298,0,0
0,0.015,0,0.285,0,0
0,0.039,0,0.237,0,0.009
0,0.088,0,0.19,0,0.062
0,0.192,0,0.167,0,0.136
0,0.303,0,0.167,0,0.204
0,0.365,0,0.179,0,0.265
0,0.361,0,0.203,0,0.256
0,0.33,0,0.23,0,0.206
0,0.312,0,0.256,0,0.167
0,0.316,0,0.292,0,0.137
0,0.329,0.003,0.355,0,0.098
0.12,0.298,0.212,0.262,0.046,0.051
0.346,0.103,0.458,0.228,0.247,0.01
0.521,0.028,0.615,0.373,0.45,0
0.615,0.174,0.696,0.129,0.581,0.003
0.601,0.149,0.695,0.04,0.587,0.003
0.57,0.084,0.66,0.014,0.595,0.007
0.489,0.056,0.601,0.005,0.544,0.01
0.321,0.058,0.491,0.002,0.395,0.047
0.165,0.093,0.353,0.001,0.233,0.129
0.029,0.175,0.147,0.008,0.077,0.446
0,0.281,0.002,0.072,0.001,0.79
0,0.391,0,0.24,0,0.866
0,0.486,0,0.435,0,0.873
0,0.523,0,0.531,0,0.858
0,0.505,0,0.512,0,0.831
0,0.476,0,0.403,0,0.809
0,0.439,0,0.308,0,0.783
0,0.386,0,0.268,0,0.765
0,0.305,0,0.217,0,0.753
0,0.216,0,0.137,0,0.75
0,0.137,0,0.073,0,0.746
0,0.077,0,0.043,0,0.724
0,0.047,0,0.035,0,0.702
0,0.034,0.003,0.036,0,0.671
0.025,0.043,0.207,0.018,0.05,0.59
0.1,0.04,0.449,0.056,0.278,0.303
0.212,0.031,0.61,0.115,0.5,0.134
0.305,0.049,0.707,0.039,0.639,0.37
0.355,0.078,0.76,0.005,0.683,0.247
0.342,0.069,0.757,0,0.701,0.136
0.295,0.054,0.705,0,0.659,0.124
0.26,0.041,0.585,0,0.555,0.158
0.126,0.059,0.423,0.001,0.389,0.206
0.022,0.195,0.193,0.016,0.162,0.275
0,0.496,0.004,0.143,0.004,0.417
0,0.732,0,0.355,0,0.458
0,0.789,0,0.502,0,0.394
0,0.75,0,0.539,0,0.347
0,0.692,0,0.522,0,0.332
0,0.629,0,0.497,0,0.376
0,0.548,0,0.465,0,0.382
0,0.455,0,0.431,0,0.372
0,0.374,0,0.41,0,0.354
0,0.338,0,0.41,0,0.315
0,0.341,0,0.41,0,0.292
0,0.37,0,0.388,0,0.272
0,0.415,0,0.345,0,0.29
0,0.455,0.007,0.293,0,0.341
0.11,0.381,0.277,0.135,0.082,0.339
