Load_MW_z1,Load_MW_z2,Load_MW_z3,raj_solarpv,raj_onshorewind,GrpWeight,SubWtAsInGenXInputs
9480.775497361927,16064.536717221137,32691.745509653356,0.0,0.1,2.0,336.0
9007.732602272965,16106.363667944794,32206.752057214777,0.0,0.11,2.0,336.0
8645.23236266795,15789.673898179972,31617.19122796706,0.0,0.08,2.0,336.0
8273.769205050723,15662.201286450736,30785.631612389625,0.0,0.05,2.0,336.0
7889.359610304746,15448.087133936786,30432.09429079682,0.0,0.03,2.0,336.0
7496.982977325691,15890.257755872572,31512.62385115792,0.0,0.02,2.0,336.0
7120.540420812791,15934.076466154498,33245.45466685222,0.05,0.01,2.0,336.0
6928.3356234398025,15523.773997151018,34506.2384672367,0.18,0.01,2.0,336.0
6617.62113234979,15304.680445741395,35548.924595990684,0.32,0.04,2.0,336.0
6805.842410606239,14939.192566798976,35057.955864877295,0.45,0.05,2.0,336.0
7383.45268250434,14440.256797452514,35057.955864877295,0.56,0.06,2.0,336.0
7731.014725422335,14443.244436789917,35270.07825783298,0.62,0.06,2.0,336.0
7872.429654059456,14186.307453773175,34960.359646522105,0.64,0.06,2.0,336.0
7419.304354553188,14334.69354086424,34225.40036952073,0.61,0.04,2.0,336.0
7847.53265958109,14956.122523044265,33761.32039244397,0.53,0.03,2.0,336.0
7988.947588218211,14515.943660666748,33893.772403068884,0.41,0.02,2.0,336.0
7816.660386427916,14448.22383568559,33098.06445954029,0.27,0.01,2.0,336.0
7626.4473486131965,13984.14385860884,32304.348275569973,0.12,0.0,2.0,336.0
7442.209589473285,13624.63125834123,32474.643717802,0.02,0.0,2.0,336.0
7563.706922527713,14975.044238847824,32911.83494084211,0.0,0.0,2.0,336.0
7558.727523632039,15600.456740144387,32131.065194000545,0.0,0.0,2.0,336.0
7547.772846061558,15580.539144561695,31692.878091181294,0.0,0.0,2.0,336.0
7972.017631972922,16663.060464481066,30732.849984095486,0.0,0.0,2.0,336.0
8182.148265370334,17580.265741064082,30257.815329448254,0.0,0.01,2.0,336.0
7930.190681249266,17550.389347690045,29579.621199857556,0.0,0.02,2.0,336.0
7544.785206724155,17084.317611055027,28824.744327273485,0.0,0.08,2.0,336.0
7226.1036774010645,16379.234727427689,28297.923924111252,0.0,0.14,2.0,336.0
6876.5498749248,15773.739821713818,28067.875695131148,0.0,0.15,2.0,336.0
6568.823023172192,15057.702260516,27806.955192997866,0.0,0.11,2.0,336.0
6309.894280597181,15838.47200735757,27997.168230812586,0.0,0.05,2.0,336.0
6042.998499789093,16194.996968287778,28670.382961507614,0.05,0.01,2.0,336.0
5954.365199446109,16274.667350618549,28553.86502734886,0.18,0.0,2.0,336.0
5950.38168032957,14887.406818283975,29019.93676398388,0.32,0.01,2.0,336.0
6230.2238982664085,13837.749531076046,29144.42173637571,0.43,0.02,2.0,336.0
6721.192629379794,13218.31230845429,29245.005594068312,0.51,0.03,2.0,336.0
7039.8741587028835,12904.610178026873,29191.22808599504,0.56,0.04,2.0,336.0
7276.893546136932,12536.134659747051,28807.8143710282,0.58,0.05,2.0,336.0
7230.087196517603,12384.760933318583,28236.179377804903,0.56,0.06,2.0,336.0
7598.5627147974255,12345.921621932332,27619.72979452055,0.46,0.07,2.0,336.0
7780.808714379068,12934.486571400914,27359.805172166405,0.36,0.06,2.0,336.0
7733.006484980605,13138.641926123517,26850.9106050286,0.24,0.06,2.0,336.0
7395.403239853956,12754.23233137754,27286.110068510443,0.11,0.04,2.0,336.0
7199.214923364429,12464.431315649355,28147.54607746192,0.02,0.02,2.0,336.0
7447.188988368958,13956.25922479307,29657.29982263006,0.0,0.01,2.0,336.0
7844.545020243686,15113.47152814754,29132.471179026095,0.0,0.0,2.0,336.0
8213.02053852351,15199.117189153121,28592.70433873511,0.0,0.01,2.0,336.0
8772.704974397186,15867.352520952476,27782.058198519502,0.0,0.08,2.0,336.0
9043.584274321813,16355.333612728457,27152.6621781064,0.0,0.3,2.0,336.0
8672.121116704586,15869.344280510744,26797.133096955327,0.0,0.54,2.0,336.0
8204.057620511298,15681.123002254295,26497.373283435794,0.0,0.62,2.0,336.0
7769.854036808587,15626.349614401888,26527.249676809835,0.0,0.59,2.0,336.0
7375.485644271263,15295.717527729183,26777.215501372633,0.0,0.5,2.0,336.0
7006.014246212306,14888.402698063108,27012.24312924841,0.0,0.4,2.0,336.0
6716.213230484121,15553.65039052506,27341.87933614198,0.0,0.34,2.0,336.0
6533.967230902478,15441.115975482842,29177.285769087153,0.05,0.29,2.0,336.0
6455.292728350841,15612.407297494003,30931.030060143283,0.14,0.2,2.0,336.0
6592.724137871423,15477.963527310825,31579.347796359943,0.19,0.09,2.0,336.0
7202.202562701833,15136.376763067638,31565.40547945206,0.28,0.06,2.0,336.0
7971.0217521937875,14617.523398138483,31440.920507060226,0.38,0.08,2.0,336.0
8215.012298081778,14411.376283857608,31478.763938667344,0.45,0.1,2.0,336.0
8335.513751357072,14011.032612645477,31260.666267036853,0.48,0.12,2.0,336.0
8232.938134106202,14271.953114778757,30853.35143737078,0.5,0.12,2.0,336.0
8682.079914495931,14230.1261640551,30791.60689106443,0.5,0.11,2.0,336.0
9173.048645609317,14473.120830163956,30719.903546966736,0.41,0.09,2.0,336.0
9014.703760726907,14337.681180201644,30099.470444565846,0.26,0.07,2.0,336.0
8645.23236266795,13796.918460131525,30150.260313301715,0.12,0.04,2.0,336.0
8230.946374547933,13153.580122810537,31268.63330526993,0.02,0.02,2.0,336.0
8275.760964608991,13941.321028106051,32782.37056955461,0.0,0.0,2.0,336.0
8441.077007945345,15317.626882870145,32462.693160452385,0.0,0.0,2.0,336.0
8705.981029195164,15257.874096122066,31915.955161707458,0.0,0.0,2.0,336.0
9306.496536013361,15918.142389688343,30903.14542632751,0.0,0.0,2.0,336.0
9225.830273903453,15734.900510327567,30072.58169052921,0.0,0.0,2.0,336.0
8822.498963353919,16623.22527331568,29369.490566460143,0.0,0.04,2.0,336.0
8419.167652804383,16742.73084681184,28749.057464059253,0.0,0.15,2.0,336.0
8040.733336733213,16401.14408256865,28372.61490754635,0.0,0.18,2.0,336.0
7664.2907802203135,15930.092947037958,28152.525476357594,0.0,0.13,2.0,336.0
7287.848223707413,15181.191353128697,28350.70555240539,0.0,0.07,2.0,336.0
7005.018366433171,15999.804531577385,29353.55648999399,0.0,0.02,2.0,336.0
6706.254432692774,16336.411896924898,31198.921720730505,0.05,0.01,2.0,336.0
6712.229711367582,16451.93395130452,32082.267084822946,0.15,0.01,2.0,336.0
6841.694082655087,16091.425471257773,32491.57367404729,0.27,0.04,2.0,336.0
7470.094223289056,15284.762850158702,32364.101062318052,0.39,0.01,2.0,336.0
8186.131784486873,15020.854708688017,32598.132810414696,0.51,0.0,2.0,336.0
8319.579674890916,15077.619856098692,32318.29059247786,0.57,0.01,2.0,336.0
8469.95752154025,14772.880643683488,31832.30126026015,0.62,0.02,2.0,336.0
8256.839248805434,14687.234982677908,31353.283086496376,0.6,0.05,2.0,336.0
8714.943947207375,14796.78175838272,31510.632091599655,0.53,0.08,2.0,336.0
8964.909771770173,14869.48098225955,31714.787446322258,0.42,0.11,2.0,336.0
8776.688493513724,14183.319814435772,31527.562047844942,0.27,0.15,2.0,336.0
8413.192374129574,13242.213423153522,31363.241884287723,0.12,0.21,2.0,336.0
8108.45316171437,12673.566069267634,32025.50193741227,0.03,0.25,2.0,336.0
8299.662079308224,14664.32974775781,33847.96193322869,0.0,0.27,2.0,336.0
8369.37366384765,15322.606281765818,33843.97841411215,0.0,0.19,2.0,336.0
8499.83391491429,15387.33846740957,33001.464120964236,0.0,0.1,2.0,336.0
8939.016897512673,15643.279570647177,31975.707948455536,0.0,0.04,2.0,336.0
9056.530711450563,16803.47951333905,31142.15657331983,0.0,0.02,2.0,336.0
8590.458974815543,16587.37360126683,30264.786487902198,0.0,0.01,2.0,336.0
8101.4820032604275,16320.477820458744,29670.24625975881,0.0,0.0,2.0,336.0
7748.940561446759,16105.367788165659,29165.33521173754,0.0,0.0,2.0,336.0
7419.304354553188,15410.243702329668,29035.870840450032,0.0,0.0,2.0,336.0
7094.64754655529,14804.748796615797,29348.577091098316,0.0,0.0,2.0,336.0
6818.78884773499,15494.893483556114,30341.469230895567,0.0,0.01,2.0,336.0
6698.287394459697,15998.80865179825,32412.89917149565,0.05,0.02,2.0,336.0
6604.674695221039,15688.094160708237,33417.74186864252,0.19,0.0,2.0,336.0
6740.114345183352,16249.770356140183,33833.02373654167,0.35,0.0,2.0,336.0
7383.45268250434,17138.095119128295,33663.72417408878,0.49,0.0,2.0,336.0
8126.378997738793,16864.228179866266,33568.119715291854,0.58,0.0,2.0,336.0
8397.25829766342,16589.3653608251,33695.59232702109,0.61,0.0,2.0,336.0
8154.263631554564,14529.885977574631,33436.663584446076,0.62,0.01,2.0,336.0
7617.4844306009845,14241.080841625582,33001.464120964236,0.59,0.01,2.0,336.0
7880.396692292534,14000.077935074994,33218.56591281559,0.53,0.0,2.0,336.0
8201.069981173892,13804.885498364603,33438.65534400435,0.41,0.0,2.0,336.0
8115.424320168312,13198.394712871597,32908.84730150471,0.27,0.0,2.0,336.0
7997.910506230423,12665.599031034557,32329.24527004834,0.12,0.0,2.0,336.0
7858.487337151571,12439.53432117099,32586.182253065082,0.03,0.0,2.0,336.0
7908.281326108304,13843.724809750855,35050.984706423355,0.0,0.0,2.0,336.0
7839.565621348012,14685.243223119638,34898.61510021576,0.0,0.0,2.0,336.0
7922.223643016189,14105.64119166327,34517.19314480718,0.0,0.0,2.0,336.0
8213.02053852351,15200.113068932256,33828.044337645995,0.0,0.0,2.0,336.0
8209.037019406971,15605.43613904006,33123.95733379779,0.0,0.0,2.0,336.0
7807.697468415704,15427.173658574957,31837.280659155822,0.0,0.0,2.0,336.0
7387.436201620879,15497.881122893517,30898.16602743184,0.0,0.0,2.0,336.0
7066.762912739519,15139.36440240504,30539.649306943364,0.0,0.0,2.0,336.0
6804.846530827105,14208.216808914138,30186.11198535056,0.0,0.0,2.0,336.0
6550.897187147768,14101.65767254673,30069.594051191805,0.0,0.0,2.0,336.0
6380.601744915742,14820.682873081952,31583.331315476484,0.0,0.0,2.0,336.0
6405.498739394108,15325.593921103222,33180.72248120847,0.05,0.0,2.0,336.0
6451.309209234302,15387.33846740957,33899.74768174369,0.19,0.0,2.0,336.0
6543.926028693825,15008.904151338402,33743.39455641955,0.35,0.01,2.0,336.0
7105.6022241257715,14595.61404299752,33763.31215200225,0.49,0.01,2.0,336.0
7607.5256328096375,14197.262131343658,33718.497561941185,0.59,0.01,2.0,336.0
7844.545020243686,13993.106776621053,34034.19145192687,0.63,0.02,2.0,336.0
7960.067074623306,14255.023158533468,33854.93309168264,0.65,0.03,2.0,336.0
7848.528539360224,14196.266251564522,33430.68830577127,0.61,0.06,2.0,336.0
8384.31186053467,14269.961355220486,33101.0520988777,0.53,0.07,2.0,336.0
8758.7626574893,14293.862469919719,32988.51768383548,0.42,0.06,2.0,336.0
8554.607302766695,13610.688941433345,32371.072220771995,0.27,0.06,2.0,336.0
8329.538472682263,12673.566069267634,31545.487883869366,0.12,0.05,2.0,336.0
8077.580888561196,11579.094191998647,31877.115850321206,0.03,0.06,2.0,336.0
8226.962855431393,13033.078669535244,34100.91539712889,0.0,0.05,2.0,336.0
