Time_index,Load_MW_z1,Load_MW_z2,Load_MW_z3
1,6478.0,14532.0,30686.0
2,6067.0,14375.0,30124.0
3,5722.0,14099.0,29670.0
4,5444.0,13715.0,29480.0
5,5217.0,14614.0,30069.0
6,5161.0,16518.0,31079.0
7,5173.0,17808.0,32155.0
8,5271.0,17604.0,32342.0
9,5389.0,16584.0,32267.0
10,5855.0,13866.0,32391.0
11,6252.0,13154.0,32613.0
12,6191.0,13393.0,32685.0
13,6537.0,13709.0,32439.0
14,6225.0,13592.0,31841.0
15,6346.0,13890.0,31907.0
16,6490.0,14088.0,31932.0
17,6449.0,13607.0,31670.0
18,6370.0,13388.0,31852.0
19,6661.0,15375.0,33906.0
20,6681.0,16083.0,34306.0
21,6426.0,15304.0,33367.0
22,6216.0,14413.0,32803.0
23,6307.0,14668.0,31995.0
24,6310.0,15159.0,31141.0
25,6120.0,14933.0,30606.0
26,5785.0,14544.0,30258.0
27,5504.0,14133.0,30034.0
28,5223.0,13770.0,29826.0
29,5022.0,14635.0,30082.0
30,4912.0,16495.0,30709.0
31,4843.0,17714.0,31329.0
32,4913.0,17550.0,31532.0
33,5010.0,16159.0,31355.0
34,5321.0,13450.0,31227.0
35,5709.0,12570.0,31402.0
36,5946.0,12422.0,31809.0
37,6019.0,12877.0,31662.0
38,5800.0,12665.0,31046.0
39,5972.0,12813.0,31031.0
40,5935.0,13059.0,30958.0
41,5871.0,12690.0,30662.0
42,5841.0,12743.0,30561.0
43,6236.0,14646.0,31779.0
44,6323.0,15668.0,32565.0
45,6195.0,14753.0,32231.0
46,6108.0,13849.0,31938.0
47,6229.0,14017.0,31466.0
48,6241.0,14606.0,30836.0
49,5953.0,14153.0,30349.0
50,5621.0,14028.0,29760.0
51,5318.0,13940.0,29530.0
52,5067.0,13618.0,29637.0
53,4897.0,14339.0,29734.0
54,4905.0,16128.0,30243.0
55,5187.0,17469.0,31425.0
56,5242.0,17787.0,32043.0
57,5322.0,17171.0,32097.0
58,5893.0,15318.0,32210.0
59,6562.0,14565.0,32885.0
60,6746.0,14430.0,33254.0
61,6842.0,14758.0,33087.0
62,6516.0,14520.0,32652.0
63,6756.0,14668.0,32993.0
