Load_MW_z1,Load_MW_z2,Load_MW_z3,delhi_solarpv,delhi_onshorewind,maharashtra_solarpv,maharashtra_onshorewind,rajasthan_solarpv,rajasthan_onshorewind,GrpWeight,SubWtAsInGenXInputs
3053.1868158474667,15047.777826908672,32963.609870211585,0.0,0.442,0.0,0.445,0.0,0.327,1.0,168.0
2821.020528965588,14585.446686652516,32715.43211526889,0.0,0.486,0.0,0.406,0.0,0.353,1.0,168.0
2719.9481368316665,14146.132031733789,32268.111726319752,0.0,0.413,0.0,0.392,0.0,0.401,1.0,168.0
2627.882195481956,13762.857515027928,32285.123911134375,0.0,0.317,0.0,0.396,0.0,0.449,1.0,168.0
2689.9266342176306,12902.241106758895,32401.207054575312,0.0,0.253,0.0,0.379,0.0,0.46399999999999997,1.0,168.0
3097.21835301472,14183.158551624434,33577.04924029172,0.0,0.20600000000000002,0.0,0.369,0.0,0.42700000000000005,1.0,168.0
3967.841928821765,18113.973960555555,35538.454077742084,0.0,0.147,0.003,0.349,0.0,0.37,1.0,168.0
4762.41103133992,19749.145136266718,37050.5370927357,0.066,0.044000000000000004,0.133,0.259,0.061,0.341,1.0,168.0
5036.607421881449,19161.724401785414,36968.478318924,0.22,0.003,0.385,0.41,0.191,0.19399999999999998,1.0,168.0
5249.760090441105,17487.525272676,37572.911238219924,0.37,0.008,0.5589999999999999,0.512,0.37200000000000005,0.075,1.0,168.0
5480.925660569183,16384.73540998708,38281.41869991118,0.465,0.013000000000000001,0.667,0.49,0.49700000000000005,0.094,1.0,168.0
5379.853268435261,15234.911859869497,39227.096032253314,0.564,0.01,0.7090000000000001,0.456,0.5589999999999999,0.10800000000000001,1.0,168.0
5114.663328677942,14187.161418639638,39107.01002179717,0.546,0.009000000000000001,0.7090000000000001,0.415,0.645,0.057,1.0,168.0
4562.267680579679,13206.458999914461,38532.59860511528,0.38,0.012,0.657,0.368,0.664,0.04,1.0,168.0
4587.285599424709,13216.466167452472,38766.76632550476,0.223,0.013000000000000001,0.5529999999999999,0.319,0.565,0.045,1.0,168.0
4512.231842889619,14082.086159490513,38554.6143736989,0.092,0.025,0.385,0.287,0.406,0.073,1.0,168.0
4502.224675351607,14413.32340499871,37924.16281880414,0.018000000000000002,0.155,0.16699999999999998,0.243,0.191,0.14800000000000002,1.0,168.0
4651.331471667986,14371.29330133906,36182.91566719006,0.0,0.39899999999999997,0.003,0.237,0.006999999999999999,0.305,1.0,168.0
4972.5615496381715,14745.561367260709,34481.697185728015,0.0,0.47200000000000003,0.0,0.27,0.0,0.43200000000000005,1.0,168.0
5100.653294124726,16114.541886460753,35427.374518070144,0.0,0.384,0.0,0.34600000000000003,0.0,0.516,1.0,168.0
4683.354407789625,15216.898958301075,34231.51799727771,0.0,0.271,0.0,0.45299999999999996,0.0,0.555,1.0,168.0
4198.006782196042,14558.427334299884,33530.01555286307,0.0,0.311,0.0,0.556,0.0,0.556,1.0,168.0
3888.7853052714704,15829.33761162741,33596.06285861395,0.0,0.41100000000000003,0.0,0.625,0.0,0.531,1.0,168.0
3477.4907194591765,16582.877327239716,33646.098696304005,0.0,0.41,0.0,0.6579999999999999,0.0,0.498,1.0,168.0
3097.21835301472,15877.372015809868,33767.185423513954,0.0,0.369,0.0,0.6990000000000001,0.0,0.46299999999999997,1.0,168.0
2828.0255462421965,15340.987835772425,32977.619904764804,0.0,0.335,0.0,0.71,0.0,0.43,1.0,168.0
