Load_MW_z1,Load_MW_z2,Load_MW_z3
5680,13247,37859
5323,12648,36944
5050,12218,36235
4835,12324,35896
4730,11988,35787
4764,12278,36617
4977,13496,37651
5072,13604,37724
5127,12906,37380
5504,12821,37304
6035,12194,38293
6212,11402,39903
6316,11360,40539
6077,11076,39999
6245,11222,39819
6383,11388,40151
6274,11182,39061
6156,10934,36905
6114,10779,35309
6323,12979,36462
6139,13311,35926
5981,12746,35829
6057,13355,36006
6067,13669,37017
5761,13121,37038
5429,12934,36638
5148,12552,35981
4943,12229,35601
4760,11864,35602
4741,12268,36021
4822,13409,37081
4922,13297,37038
4945,12638,36874
5121,12215,36632
5461,11714,37259
5623,11019,38582
5702,10969,38963
5502,10714,38330
5698,10981,38285
5782,11197,38134
5774,11131,37368
5660,10865,36613
5614,10357,34744
5896,12358,35737
5866,12654,35797
5864,12217,35585
6028,12569,35799
6038,13206,36768
5765,12224,36942
5438,11807,36095
5177,11907,35418
4942,11632,34798
4766,11432,34779
4808,12161,35771
5055,13895,37138
5103,13952,37249
5191,12924,37688
5662,12216,38064
6321,11560,39406
6535,11205,41104
6552,11065,41184
6362,11106,40176
6618,10911,40151
6873,11015,40378
6851,11492,39738
6676,11350,37883
6411,11802,36338
6563,13550,37259
6391,13752,36847
6239,13622,36497
6467,13938,36679
6443,14344,37234
6077,13396,37481
5769,12815,36680
5480,12346,35881
5244,11824,35662
5104,11331,35760
5130,11892,36353
5284,13109,37836
5304,13142,38381
5257,12427,39142
5476,12443,39016
5878,11926,39979
6095,11569,40589
6187,11316,38769
6017,11603,38681
6306,11554,38724
6457,11869,38709
6426,12144,38576
6299,11625,38035
6188,11026,36108
6331,12752,36952
6165,12698,36130
6068,12347,36441
6256,12855,36677
5946,13040,37217
5363,12413,37437
5058,11931,36835
4788,11764,36169
4686,11367,35708
4691,11089,35803
4847,11690,36807
5195,13047,38401
5215,13299,38584
5207,12513,38850
5637,12307,39036
6174,12123,39875
6353,11730,41173
6291,11629,40563
6057,11354,39929
6273,11223,40142
6462,11206,40524
6420,11601,40068
6247,11407,38200
6021,11069,36253
6056,12985,37106
5750,13480,36722
5526,13420,36931
5526,14052,37281
5431,14168,38465
5146,13561,38196
4907,13154,37360
4710,12755,36682
4595,12363,36086
4511,12096,36181
4578,12494,36873
4904,14097,37961
4951,14616,38099
5063,14018,38743
5471,13181,39080
6230,12414,39495
6543,11671,41107
6689,10821,41025
6491,9942,40550
6649,9639,40627
6776,9808,40892
6702,9858,40339
6482,10460,38806
6313,11117,36756
6430,13277,37923
6183,14218,37839
5833,13475,37279
5880,14154,37274
5823,14427,38216
5517,13809,38121
5255,13532,37305
5018,12842,36310
4816,11971,35609
4679,11412,35638
4734,11927,36389
5144,13823,37875
5190,14672,37983
5288,13999,37915
5778,13594,37845
6359,12669,38518
6460,11786,39557
6505,11415,40048
6129,11143,39394
6320,11250,39161
6499,11389,39576
6415,11550,38696
6263,11358,36949
6143,11095,34978
6262,13368,36020
5991,13709,35869
5636,12990,35921
5630,13262,35962
5588,13679,36840
5313,13157,36794
5029,12804,36240
4771,12223,35665
4561,11439,35437
4404,11111,35347
4371,11345,36016
4554,12852,37368
4689,13152,37434
4728,12799,37718
5032,11986,37416
5497,11199,38141
5668,10855,40367
5692,10782,40859
5404,10783,40473
5560,10344,40499
5661,11234,40737
5687,11649,40001
5655,11553,38093
5613,11184,37092
5848,13103,37858
5656,13420,37175
5417,12829,36796
5370,12714,36705
5339,12798,37651
5097,12233,37625
4809,11695,36939
4568,11363,36366
4318,10883,35861
4185,10799,35843
4182,11364,36598
4251,12697,37441
4374,13183,37443
4445,12673,37052
4654,12001,36208
4954,11176,36708
5124,10849,38192
5112,10787,38839
4844,10428,38600
4928,10058,38748
4997,10193,38874
4969,10247,38533
4933,10130,36998
4994,9917,35438
5331,11772,35693
5256,12493,36649
5051,12111,36681
5050,12364,36709
4954,12640,37774
4718,12129,37661
4478,11718,36636
4266,11242,35962
4083,10654,35291
3985,10334,35100
4106,11165,35712
4594,12844,37017
4647,13393,36867
4709,12772,36999
5182,12002,36902
5733,11372,37613
5900,10901,39355
5872,10488,40385
5513,9883,40543
5706,9686,41158
5876,10404,41752
5854,10574,41247
5822,10620,38974
5736,10888,37136
5885,12922,37974
5737,13478,37618
5436,13011,36991
5435,13111,37502
5312,13244,38601
4959,12431,38559
4684,12288,37707
4444,11944,36850
4266,11567,36075
4169,11122,35928
4260,11802,36359
4737,13378,37382
4792,13728,37658
4833,13046,37820
5304,12552,37964
5875,12030,39010
6048,11202,40195
6056,10867,41130
5765,10446,41181
6077,10604,41578
6311,11044,41958
6325,11085,41548
6173,10960,39857
5994,10888,37805
6140,12781,38358
5978,13396,38024
5687,13080,37440
5776,12623,37820
5717,12924,38433
5441,12742,38647
5094,12975,37932
4856,12669,37290
4599,12126,36782
4484,11719,36576
4595,12354,37242
4920,13623,38155
4953,14067,37258
5025,13442,37635
5519,12875,37554
6196,12244,38140
6433,11522,39376
6490,10953,40338
6227,11190,40503
6503,11345,40668
6742,11713,41080
6688,11756,40822
6523,11711,39477
6346,11498,37433
6488,13433,38249
6264,13926,37974
6015,13625,37379
6179,14001,37504
6194,14128,38332
5805,13944,38521
5431,13669,38045
5171,13163,37036
4953,12768,36467
4809,12283,36343
4833,12701,36834
5084,13932,38262
5108,14285,38302
5198,13619,38791
5746,12878,38431
6368,12550,37222
6614,12151,40348
6647,12168,41024
6375,12118,40699
6635,12213,40999
6944,12252,41273
6916,12426,41034
6736,12294,39381
6454,11747,37466
6601,13477,37965
6443,14167,37604
6194,13782,36882
6385,14178,37011
6436,14102,38053
6151,14070,37939
5834,13793,37153
5542,13523,36765
5264,12964,36189
5079,12551,35745
5023,12886,36385
5053,14307,37278
5131,14727,37820
5226,14228,38043
5673,13687,37810
6275,13022,38116
6522,12724,39308
6604,12487,39666
6318,12086,39281
6568,11907,39140
6770,12486,39432
6756,12634,39096
6620,12533,37761
6534,11785,35955
6686,13266,36942
6524,14058,36497
6401,13451,35786
6675,13484,35718
6805,15279,37013
6513,14501,37076
6160,14028,36936
5847,13615,36395
5546,12899,36155
5362,12525,35623
5298,12957,36007
5307,14317,36819
5323,14660,36751
5384,14143,36879
5799,13805,37108
6373,13219,38237
6624,12654,39283
6650,12665,39372
6465,12381,38626
6803,12498,38824
7014,12744,38985
6928,12751,38205
6497,12452,37392
6310,11815,36246
6491,13467,37301
6438,14066,36952
6315,13325,36150
6585,14881,36360
6779,15214,36892
6631,14729,37257
6319,14267,36522
5985,13723,35522
5722,13069,35101
5523,12441,35005
5335,12817,35574
5204,14063,36918
5156,14797,36792
5179,14137,36519
5357,13660,35916
5789,12992,36160
5975,12364,37164
6148,12283,37369
6041,12060,37189
6341,11941,37608
6528,12225,37920
6510,12203,37198
6284,11774,35763
6122,10990,34036
6440,12784,34964
6495,13485,34358
6678,13311,34199
7056,14230,34727
7148,14563,35816
6965,14079,36183
6660,13727,35297
6299,13344,34819
5979,12718,34220
5750,12505,33955
5605,13166,34417
5616,14694,36084
5577,15038,36258
5642,14071,36621
6203,13485,37540
6947,13099,38236
7227,12989,39023
7342,12764,39091
7190,12423,38436
7517,12456,38436
7900,12907,39318
7855,13071,38865
7502,12724,37596
7187,12272,35772
7255,13542,36712
7291,13984,36567
7432,13344,36513
7846,14582,36500
7872,15052,36893
7627,14574,36967
7249,14261,36052
6908,13787,35290
6513,13133,34703
6251,12961,34530
6055,13430,35411
5989,14296,36537
5838,14525,37030
5904,14129,37663
6466,13649,38165
7118,12884,39014
7394,12600,39811
7612,12991,40671
7471,12437,40221
7801,12554,40693
8189,13065,41289
8117,12984,40880
7750,12848,39515
7277,11933,37457
7287,13635,37496
7213,14250,36112
7228,13708,36704
7741,14372,36743
7917,15477,37528
7669,14621,37572
7300,14506,36895
6982,14065,36454
6559,13550,35693
6240,13140,35748
6059,13690,36754
5906,14728,36999
5721,14919,37401
5798,14365,38491
6396,13702,38687
7090,13317,39651
7416,13099,40638
7589,12767,40067
7440,12524,39669
7901,12842,40285
8351,13205,40813
8196,13286,39981
7923,13025,38804
7403,12515,36621
7393,13696,37451
7495,14509,36979
7627,14186,36483
8063,15193,36966
8281,15756,37940
8073,15135,37733
7701,15000,36776
7300,14500,35986
6924,13910,35639
6600,13394,35635
6343,13734,36723
6091,14921,37792
5892,15115,37429
5943,14805,38070
6542,14139,38720
7308,13683,39562
7674,13424,40790
7807,13455,40725
7820,13393,39789
8421,13315,39671
8941,13863,40078
8820,13917,39478
8329,13488,37292
7883,12404,35292
7914,13988,36843
8030,15200,37021
8114,15041,36739
8631,15941,37035
8676,16522,37713
8358,16157,37582
8058,15486,36866
7689,15001,36148
7361,14351,35557
7051,13736,35544
6801,13881,36061
6493,15344,36928
6263,15613,37273
6301,15220,37321
6897,14520,37838
7639,13669,38178
8008,13026,39314
8265,13092,39594
8196,13285,38959
8760,13349,38762
9276,13947,39090
9098,14278,38663
8683,13747,36585
8186,12822,34679
8221,14044,35771
8306,14561,35681
8420,14482,35367
8921,15708,35660
9113,16499,36487
8787,16369,36620
8383,15982,36109
7997,15366,35386
7649,14614,34778
7240,14072,34893
6941,14700,35768
6531,15612,36852
6298,15710,37050
6171,14876,37138
6512,14228,37096
7243,13686,37527
7633,13391,38735
8018,13249,39153
7852,13092,38109
8244,13288,38035
8615,13995,38213
8161,14130,37256
7313,13513,36171
7037,12329,35001
7246,13955,36415
7336,14720,36567
7472,14341,36541
7884,14772,37028
8250,15207,38526
8070,15940,38486
7643,15645,37733
7276,15289,37053
6866,14658,36395
6490,13888,36183
6172,14532,36786
5806,15633,37482
5574,15601,36857
5339,14920,36407
5286,14190,36053
5518,13490,36352
5725,12829,37302
5958,12691,37716
6074,12614,36671
6456,13013,36358
6719,13660,36468
6602,13447,35850
6342,12748,34646
6153,11633,33114
6396,13084,34280
6710,13769,34400
7115,13200,34912
7762,14034,35495
8177,14674,36348
8013,14046,36495
7588,13046,35940
7054,12122,35238
6572,11480,34799
6149,11451,34589
5831,12007,35264
5628,13594,36168
5454,14192,36119
5592,13936,36653
6258,13576,36862
7039,13297,37987
7376,12689,39577
7514,12719,39527
7354,12971,39096
7901,12750,39339
8294,13018,39869
8140,13168,39170
7734,13037,37343
7267,12126,35424
7239,13143,36727
7212,14014,36638
7340,13518,36438
7893,14682,36622
8142,14946,37496
7779,15087,37448
7330,14486,36388
6920,13637,35455
6500,13259,34723
6125,12738,34516
5863,13205,35360
5689,14350,36480
5562,14738,36754
5659,14267,37363
6318,13543,37503
6992,13167,38295
7318,12795,39656
7426,12786,40094
7161,12661,39934
7762,12810,40079
8161,12787,40409
8033,12130,39668
7665,11231,38217
7265,10661,35990
7187,12332,37145
7185,12970,36991
6796,12540,36169
7053,13240,36582
7588,13723,37956
7355,13347,38174
6847,12907,37399
6557,12584,36644
6235,12128,36102
5936,11648,36048
5699,12191,36830
5578,13582,38026
5468,14159,37967
5618,13552,38056
6231,12995,38387
6985,12276,37412
7292,11896,39100
7439,11651,40633
7249,11516,40485
7674,11371,40561
8049,11167,40479
7804,10535,40513
7433,10530,39152
6919,10502,37204
6976,12183,38319
6900,13113,38245
6926,12964,37976
7401,13249,37800
7672,14456,37412
7493,14039,37193
7104,13444,37207
6546,13146,36916
6299,12525,35949
6122,12025,35893
5676,12418,36774
5367,13565,38234
5280,14321,38013
5341,14201,38189
5992,13672,38470
6809,12863,38726
7141,12043,37957
7272,11825,39446
7076,11926,38930
7535,12111,39059
7957,12117,40084
7849,12275,40172
7585,11834,39125
7134,10682,37032
7149,11733,37483
7023,12503,37074
