Time_index,Load_MW_z1,Load_MW_z2,Load_MW_z3
1,2923.0,14693.0,29337.0
2,2630.0,14280.0,29071.0
3,2493.0,14008.0,29005.0
4,2426.0,13361.0,28949.0
5,2511.0,12244.0,29412.0
6,2931.0,13531.0,30944.0
7,3848.0,16792.0,32938.0
8,4875.0,18334.0,34693.0
9,5574.0,18056.0,35447.0
10,5786.0,17189.0,35825.0
11,5936.0,16174.0,36333.0
12,5809.0,15531.0,37792.0
13,5434.0,15881.0,37239.0
14,4826.0,15139.0,36620.0
15,4617.0,14844.0,36439.0
16,4452.0,15093.0,36208.0
17,4452.0,15784.0,36051.0
18,4743.0,16410.0,34785.0
19,5132.0,17238.0,33714.0
20,5038.0,16466.0,33060.0
21,4707.0,14559.0,31371.0
22,4199.0,13735.0,30235.0
23,3820.0,14494.0,29471.0
24,3276.0,15019.0,28982.0
25,2792.0,14711.0,29118.0
26,2497.0,14226.0,28947.0
27,2355.0,13857.0,28975.0
28,2331.0,13084.0,29078.0
29,2373.0,12030.0,29465.0
30,2679.0,12936.0,30576.0
31,3318.0,16042.0,32400.0
32,4233.0,18214.0,34269.0
33,5045.0,18538.0,34988.0
34,5674.0,17650.0,35372.0
35,6055.0,16620.0,35513.0
36,5966.0,15869.0,36793.0
37,5631.0,15149.0,36756.0
38,5000.0,14657.0,35818.0
39,4634.0,14444.0,35578.0
40,4334.0,14825.0,35174.0
41,4260.0,15006.0,34364.0
42,4518.0,15400.0,32939.0
43,4955.0,16115.0,31987.0
44,4897.0,15378.0,31363.0
45,4558.0,13655.0,30021.0
46,4161.0,13104.0,28826.0
47,3795.0,13982.0,28099.0
48,3355.0,14461.0,27844.0
49,2914.0,13900.0,28390.0
50,2592.0,13434.0,28260.0
51,2429.0,13091.0,28106.0
52,2341.0,12463.0,28126.0
53,2404.0,11590.0,28696.0
54,2817.0,12499.0,30191.0
55,3577.0,15595.0,32235.0
56,4741.0,17871.0,34246.0
57,5500.0,18156.0,34429.0
58,6076.0,17426.0,34643.0
59,6527.0,16406.0,35248.0
60,6396.0,15587.0,36641.0
61,6035.0,15346.0,36223.0
62,5323.0,14816.0,35194.0
63,4997.0,15113.0,35009.0
64,4722.0,15599.0,34525.0
65,4642.0,16000.0,33588.0
66,4813.0,16148.0,31871.0
67,5094.0,16520.0,31517.0
68,5000.0,15557.0,31344.0
69,4687.0,14044.0,30128.0
70,4354.0,13403.0,29538.0
71,3901.0,14356.0,28931.0
72,3319.0,14764.0,28358.0
73,2830.0,14264.0,28596.0
74,2537.0,13881.0,28324.0
75,2412.0,13592.0,28028.0
76,2342.0,12891.0,28107.0
77,2422.0,11762.0,28668.0
78,2850.0,12494.0,30199.0
79,3790.0,15616.0,33088.0
80,4905.0,17998.0,35491.0
81,5792.0,17943.0,35667.0
82,6208.0,16444.0,35975.0
83,6498.0,16245.0,36346.0
84,6074.0,15284.0,37399.0
85,5775.0,15270.0,37175.0
86,5271.0,14715.0,37095.0
87,5115.0,15114.0,36763.0
88,4966.0,15268.0,35940.0
89,4928.0,15916.0,35439.0
90,5163.0,16248.0,33657.0
91,5569.0,17122.0,33411.0
92,5464.0,16365.0,32572.0
93,5047.0,14442.0,31117.0
94,4633.0,14002.0,30234.0
95,4181.0,14671.0,29460.0
96,3529.0,14896.0,29054.0
97,3006.0,14804.0,29039.0
98,2685.0,14166.0,28929.0
99,2497.0,13654.0,28825.0
100,2448.0,12936.0,28874.0
101,2540.0,11831.0,29442.0
102,2937.0,12504.0,30782.0
103,3879.0,15859.0,33346.0
104,5002.0,18136.0,35632.0
105,6067.0,17877.0,35652.0
106,6486.0,16016.0,36047.0
107,6813.0,15471.0,36299.0
108,6618.0,15069.0,36861.0
109,6173.0,15386.0,36310.0
110,5436.0,14465.0,35548.0
111,5236.0,15093.0,35243.0
112,5052.0,15198.0,34926.0
113,4988.0,15516.0,34347.0
114,5293.0,16044.0,32958.0
115,5676.0,16695.0,32925.0
116,5586.0,16189.0,32324.0
117,5257.0,14937.0,30880.0
118,4759.0,14485.0,30115.0
119,4267.0,15314.0,29222.0
120,3596.0,15517.0,29009.0
121,2989.0,15009.0,29068.0
122,2620.0,14587.0,28905.0
123,2461.0,14331.0,28820.0
124,2397.0,13708.0,28845.0
125,2484.0,12539.0,29525.0
126,2891.0,13298.0,31308.0
127,3816.0,16597.0,33657.0
128,5039.0,18650.0,35804.0
129,5928.0,17428.0,35936.0
130,6376.0,16995.0,36545.0
131,6596.0,16804.0,36856.0
132,6371.0,16263.0,37679.0
133,6064.0,16334.0,36989.0
134,5354.0,15412.0,36372.0
135,5285.0,15177.0,36190.0
136,5171.0,15453.0,35827.0
137,5174.0,15914.0,35588.0
138,5446.0,16863.0,34107.0
139,5803.0,17565.0,33463.0
140,5753.0,16809.0,32932.0
141,5390.0,15157.0,31739.0
142,4895.0,14450.0,30695.0
143,4363.0,14910.0,30060.0
144,3668.0,15673.0,29679.0
145,3063.0,15223.0,29388.0
146,2739.0,14861.0,28604.0
147,2590.0,14586.0,28520.0
148,2530.0,14068.0,28660.0
149,2631.0,12886.0,29174.0
150,3048.0,13668.0,31272.0
151,4060.0,17221.0,34521.0
152,5335.0,19845.0,36470.0
153,6350.0,19233.0,36385.0
154,6830.0,17597.0,36726.0
155,7202.0,17187.0,36790.0
156,7011.0,16553.0,37817.0
157,6654.0,16731.0,37348.0
158,5742.0,16178.0,36475.0
159,5542.0,16094.0,36186.0
160,5366.0,16263.0,35725.0
161,5339.0,16560.0,35191.0
162,5570.0,17060.0,33502.0
163,5917.0,18072.0,33031.0
164,5835.0,17448.0,32495.0
165,5474.0,15641.0,31703.0
166,4979.0,14865.0,30709.0
167,4460.0,15780.0,30103.0
168,3770.0,15653.0,29478.0
169,7342.0,13054.0,35839.0
170,7016.0,12879.0,36324.0
171,6666.0,12273.0,35827.0
172,6327.0,11919.0,35565.0
173,6036.0,11759.0,35461.0
174,5756.0,12337.0,36613.0
175,5559.0,13070.0,35833.0
176,5517.0,13347.0,35793.0
177,5564.0,13195.0,37442.0
178,5917.0,12826.0,37666.0
179,6608.0,12308.0,37578.0
180,6853.0,11924.0,39933.0
181,7021.0,11916.0,40084.0
182,6892.0,11810.0,37766.0
183,7199.0,11846.0,37469.0
